step,actor/entropy_loss,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/grad_norm,critic/kl,critic/kl_coeff,critic/lr,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,critic/values/max,critic/values/mean,critic/values/min,critic/vf_clipfrac,critic/vf_explained_var,critic/vf_loss,critic/vpred_mean,env/finish_ratio,env/number_of_actions/max,env/number_of_actions/mean,env/number_of_actions/min,env/number_of_valid_action,env/number_of_valid_search,env/ratio_of_valid_action,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,mfu/actor,mfu/critic,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,state_tokens/coverage,state_tokens/total,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_per_token_ms/update_critic,timing_per_token_ms/values,timing_s/adv,timing_s/gen,timing_s/ref,timing_s/save_checkpoint,timing_s/step,timing_s/testing,timing_s/update_actor,timing_s/update_critic,timing_s/values,val/test_score/nq
10,1.059,2.091,0.0,0.003,-0.133,-0.0,6.699,-0.0,-5.559,22.429,0.0,0.001,0.0,1.003,0.267,-0.003,1.003,0.264,-0.003,1.0,0.264,0.0,3.484,0.074,-3.266,0.0,-0.887,0.199,0.081,0.965,4.0,2.053,1.0,1.955,0.99,0.974,55330.0,55330.0,62205.0,55330.0,48149.0,14056.0,0.108,0.027,0.0,239.0,161.924,152.0,0.002,2431.0,702.607,67.0,0.335,120685.0,0.001,0.194,0.01,0.08,0.318,0.055,0.367,69.786,4.242,,279.095,,35.274,140.816,24.333,
11,1.193,1.765,0.0,0.003,0.12,-0.0,6.604,0.0,-6.589,35.468,0.001,0.001,0.0,1.002,0.227,-0.004,1.002,0.232,-0.004,1.0,0.232,0.0,3.75,0.475,-2.766,0.0,-0.61,0.161,0.473,0.963,4.0,2.059,1.0,1.945,0.982,0.97,56636.0,56635.0,60550.0,56635.5,53678.0,6872.0,0.111,0.028,0.0,244.0,161.541,149.0,0.002,2174.0,723.389,66.0,0.362,133915.0,0.001,0.191,0.009,0.077,0.309,0.054,0.39,70.582,4.252,,279.211,,34.993,140.01,24.675,
12,1.093,2.332,0.0,0.005,-0.239,-0.0,5.112,-0.0,-5.803,8.001,-0.0,0.001,0.0,1.002,0.245,-0.004,1.002,0.256,-0.003,1.0,0.256,0.0,2.844,0.209,-2.125,0.0,-0.33,0.166,0.234,0.971,4.0,2.082,1.0,1.992,1.021,0.977,56627.0,56626.0,64199.0,56626.25,52759.0,11440.0,0.106,0.028,0.0,236.0,161.588,153.0,0.002,2389.0,723.197,48.0,0.336,124376.0,0.001,0.191,0.009,0.081,0.31,0.054,0.391,70.878,4.235,,281.326,,36.776,140.346,24.389,
13,1.132,2.385,0.0,0.002,-0.057,-0.0,4.406,0.0,-4.546,22.313,0.001,0.001,0.0,1.002,0.247,-0.003,1.002,0.258,-0.003,1.0,0.258,0.0,1.953,0.05,-1.852,0.0,-0.202,0.151,0.079,0.979,4.0,1.967,1.0,1.906,0.928,0.983,53335.0,53334.0,57192.0,53334.5,50054.0,7138.0,0.103,0.026,0.0,280.0,162.053,151.0,0.004,2183.0,671.299,53.0,0.347,119297.0,0.001,0.221,0.01,0.083,0.329,0.057,0.384,75.992,4.196,,285.135,,35.53,140.475,24.351,
14,1.13,2.893,0.0,0.004,-0.078,-0.001,5.352,-0.0,-3.537,34.754,0.001,0.001,0.0,1.002,0.215,-0.003,1.002,0.224,-0.003,1.0,0.225,0.0,1.844,0.504,-1.07,0.0,-0.147,0.132,0.499,0.963,4.0,2.066,1.0,1.977,1.014,0.976,56571.0,56571.0,59485.0,56571.0,52924.0,6561.0,0.114,0.027,0.0,220.0,161.623,152.0,0.002,2201.0,722.299,63.0,0.342,126359.0,0.001,0.191,0.009,0.076,0.312,0.054,0.391,70.47,4.294,,279.287,,34.227,141.225,24.411,
15,1.007,1.934,0.0,0.003,-0.328,-0.0,4.469,0.0,-3.362,35.963,0.0,0.001,0.0,1.003,0.247,-0.003,1.003,0.266,-0.003,1.0,0.266,0.0,1.516,0.258,-1.008,0.001,-0.078,0.187,0.054,0.975,4.0,2.088,1.0,2.016,1.041,0.982,56501.0,56500.0,60653.0,56500.125,52528.0,8125.0,0.111,0.027,0.0,280.0,160.98,152.0,0.002,2680.0,721.834,104.0,0.321,118743.0,0.001,0.192,0.009,0.077,0.312,0.054,0.423,70.873,4.291,,279.959,,34.923,140.85,24.374,
16,1.128,3.529,0.0,0.003,0.164,-0.0,3.946,-0.0,-3.382,58.893,0.0,0.001,0.0,1.002,0.218,-0.004,1.002,0.232,-0.003,1.0,0.232,0.0,0.938,-0.287,-1.914,0.0,-0.067,0.163,-0.226,0.959,4.0,2.104,1.0,1.996,1.037,0.972,57243.0,57242.0,61095.0,57242.5,51416.0,9679.0,0.109,0.028,0.0,262.0,161.318,151.0,0.002,2194.0,733.096,56.0,0.338,126988.0,0.001,0.189,0.009,0.079,0.307,0.053,0.405,70.846,4.3,,280.931,,36.096,140.491,24.479,
17,1.084,4.021,0.0,0.003,0.0,0.001,4.856,-0.0,-3.483,35.451,0.002,0.001,0.0,1.002,0.247,-0.004,1.001,0.246,-0.004,1.0,0.246,0.0,1.453,0.153,-1.25,0.118,-0.061,0.151,0.435,0.967,4.0,2.066,1.0,1.982,1.016,0.978,55934.0,55933.0,60229.0,55933.5,52919.0,7310.0,0.11,0.027,0.0,250.0,161.652,152.0,0.002,2474.0,712.309,110.0,0.333,121620.0,0.001,0.215,0.009,0.078,0.314,0.054,0.415,78.496,4.233,,287.3,,35.119,140.322,24.386,
18,1.158,2.308,0.0,0.003,-0.018,-0.0,5.431,-0.0,-2.228,56.203,0.001,0.001,0.0,1.002,0.205,-0.004,1.002,0.213,-0.003,1.0,0.213,0.0,1.461,0.746,-0.707,0.0,-0.048,0.197,0.664,0.984,4.0,2.078,1.0,2.002,1.018,0.98,56731.0,56730.0,60640.0,56730.5,52001.0,8639.0,0.11,0.028,0.0,242.0,162.172,152.0,0.002,2220.0,724.242,51.0,0.337,125043.0,0.001,0.192,0.009,0.078,0.311,0.054,0.423,71.321,4.283,,281.026,,35.429,140.943,24.33,
19,1.135,1.869,0.0,0.003,-0.033,0.001,5.269,0.0,-5.205,27.218,0.001,0.001,0.0,1.003,0.225,-0.004,1.002,0.238,-0.004,1.0,0.238,0.0,2.266,0.289,-1.164,0.0,-0.026,0.128,0.095,0.975,4.0,2.08,1.0,2.008,1.033,0.982,57265.0,57264.0,62545.0,57264.625,54395.0,8150.0,0.113,0.028,0.0,240.0,162.383,152.0,0.002,2166.0,732.377,77.0,0.334,125089.0,0.001,0.196,0.01,0.076,0.303,0.053,0.369,73.447,4.358,,280.929,,34.958,139.038,24.476,
20,1.166,2.142,0.0,0.002,0.105,0.0,5.453,-0.0,-2.989,53.039,0.002,0.001,0.0,1.002,0.21,-0.005,1.002,0.219,-0.005,1.0,0.219,0.0,0.812,-0.22,-1.984,0.0,-0.04,0.156,-0.159,0.961,4.0,2.098,1.0,1.998,1.037,0.973,57448.0,57447.0,65814.0,57447.875,52783.0,13031.0,0.113,0.028,0.0,252.0,162.102,150.0,0.002,2161.0,735.521,60.0,0.336,126536.0,0.001,0.201,0.009,0.076,0.308,0.053,0.41,75.764,4.347,,285.781,,35.008,141.445,24.427,
21,1.074,1.835,0.0,0.003,-0.089,0.0,3.862,0.0,-2.047,104.059,0.002,0.001,0.0,1.002,0.268,-0.004,1.001,0.285,-0.004,1.0,0.285,0.0,0.727,0.084,-0.902,0.0,-0.008,0.104,0.133,0.973,4.0,2.086,1.0,2.012,1.039,0.98,57720.0,57719.0,61477.0,57719.125,53722.0,7755.0,0.108,0.028,0.0,252.0,162.842,153.0,0.002,2415.0,739.02,77.0,0.34,128700.0,0.001,0.2,0.009,0.08,0.303,0.053,0.39,75.762,4.337,,285.877,,36.722,139.85,24.525,
22,1.085,1.762,0.0,0.003,-0.214,-0.001,3.54,-0.0,-1.591,39.191,0.001,0.001,0.0,1.002,0.229,-0.005,1.002,0.23,-0.005,1.0,0.23,0.0,1.086,0.508,-0.479,0.0,-0.002,0.14,0.559,0.982,4.0,2.029,1.0,1.975,0.992,0.985,55880.0,55879.0,59072.0,55879.25,51850.0,7222.0,0.109,0.027,0.0,260.0,163.025,150.0,0.002,2290.0,710.088,67.0,0.342,124438.0,0.001,0.202,0.009,0.079,0.316,0.055,0.387,73.342,4.219,,283.112,,35.181,141.256,24.427,
23,1.11,1.932,0.0,0.004,-0.034,-0.001,8.216,-0.0,-1.747,17.403,0.003,0.001,0.0,1.002,0.265,-0.004,1.002,0.261,-0.003,1.0,0.262,0.0,0.965,0.461,-3.422,0.0,0.004,0.1,0.352,0.973,4.0,2.115,1.0,2.033,1.061,0.979,57171.0,57170.0,62580.0,57170.5,52181.0,10399.0,0.114,0.028,0.0,237.0,161.408,152.0,0.002,2260.0,731.881,84.0,0.322,120522.0,0.001,0.193,0.009,0.076,0.31,0.053,0.394,72.244,4.287,,281.805,,34.561,141.59,24.464,
