step,actor/entropy_loss,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/grad_norm,critic/kl,critic/kl_coeff,critic/lr,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,critic/values/max,critic/values/mean,critic/values/min,critic/vf_clipfrac,critic/vf_explained_var,critic/vf_loss,critic/vpred_mean,env/finish_ratio,env/number_of_actions/max,env/number_of_actions/mean,env/number_of_actions/min,env/number_of_valid_action,env/number_of_valid_search,env/ratio_of_valid_action,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,mfu/actor,mfu/critic,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,state_tokens/coverage,state_tokens/total,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_per_token_ms/update_critic,timing_per_token_ms/values,timing_s/adv,timing_s/gen,timing_s/ref,timing_s/save_checkpoint,timing_s/step,timing_s/testing,timing_s/update_actor,timing_s/update_critic,timing_s/values,val/test_score/nq
42,1.039,1.876,0.0,0.003,-0.012,-0.001,7.798,0.0,-1.712,7.003,-0.001,0.001,0.0,1.004,0.255,-0.017,1.004,0.256,-0.015,1.0,0.256,0.0,1.102,0.342,-3.297,0.0,0.012,0.095,0.319,0.973,4.0,2.096,1.0,2.039,1.066,0.985,56192.0,56191.0,59483.0,56191.375,52211.0,7272.0,0.107,0.027,0.0,234.0,161.721,152.0,0.002,2145.0,716.27,56.0,0.302,110880.0,0.001,0.192,0.009,0.08,0.313,0.054,0.394,70.592,4.224,,280.498,,35.856,140.865,24.37,
43,1.047,1.689,0.0,0.004,-0.009,-0.001,2.683,-0.0,-6.063,29.677,0.003,0.001,0.0,1.009,0.295,-0.02,1.009,0.316,-0.017,1.0,0.316,0.0,2.5,0.062,-1.352,0.0,0.026,0.141,0.06,0.979,4.0,2.184,1.0,2.133,1.154,0.986,58969.0,58968.0,62858.0,58968.125,55606.0,7252.0,0.118,0.028,0.0,272.0,161.971,152.0,0.002,2236.0,759.406,51.0,0.289,112450.0,0.001,0.183,0.009,0.073,0.3,0.052,0.388,71.311,4.267,,280.847,,34.45,141.65,24.473,
44,1.079,2.059,0.0,0.004,-0.064,0.001,6.577,0.0,-2.17,12.665,0.003,0.001,0.0,1.006,0.3,-0.015,1.006,0.33,-0.013,1.0,0.33,0.0,0.871,0.201,-2.062,0.0,0.037,0.119,0.358,0.975,4.0,2.16,1.0,2.123,1.148,0.99,58913.0,58912.0,63024.0,58912.25,53124.0,9900.0,0.115,0.029,0.0,249.0,161.965,151.0,0.002,2301.0,758.539,53.0,0.287,111342.0,0.001,0.203,0.009,0.075,0.299,0.052,0.374,78.943,4.274,,288.878,,35.447,141.059,24.429,
45,1.044,3.696,0.0,0.004,-0.236,-0.001,3.893,-0.0,-2.078,28.476,0.004,0.001,0.0,1.007,0.265,-0.022,1.007,0.289,-0.019,1.0,0.289,0.0,1.289,0.566,-0.676,0.0,0.018,0.123,0.516,0.984,4.0,2.164,1.0,2.133,1.148,0.992,58366.0,58365.0,61769.0,58365.25,53939.0,7830.0,0.112,0.028,0.0,240.0,161.533,152.0,0.002,2443.0,750.424,69.0,0.278,106750.0,0.001,0.192,0.009,0.077,0.301,0.052,0.379,73.814,4.273,,283.716,,35.991,140.629,24.346,
46,1.059,2.406,0.0,0.004,0.046,-0.001,3.105,-0.0,-3.332,14.349,0.004,0.001,0.0,1.006,0.3,-0.015,1.006,0.324,-0.012,1.0,0.324,0.0,1.422,0.226,-1.398,0.0,0.04,0.096,0.182,0.977,4.0,2.168,1.0,2.125,1.148,0.989,58631.0,58630.0,65395.0,58630.25,53799.0,11596.0,0.115,0.028,0.0,237.0,162.5,152.0,0.002,2078.0,753.598,84.0,0.285,109933.0,0.001,0.193,0.009,0.075,0.302,0.052,0.385,74.341,4.312,,284.662,,34.952,141.823,24.44,
47,0.973,2.103,0.0,0.003,-0.075,0.0,2.717,-0.0,-2.999,15.849,0.005,0.001,0.0,1.005,0.281,-0.027,1.005,0.291,-0.024,1.0,0.291,0.0,1.336,0.281,-0.562,0.0,0.023,0.123,0.422,0.975,4.0,2.168,1.0,2.119,1.145,0.987,58734.0,58733.0,62558.0,58733.375,56081.0,6477.0,0.114,0.029,0.0,230.0,161.967,152.0,0.002,2136.0,755.742,62.0,0.289,111866.0,0.001,0.211,0.009,0.075,0.299,0.052,0.35,81.568,4.364,,290.868,,35.34,140.463,24.431,
48,1.047,5.981,0.0,0.004,0.06,0.001,3.6,-0.0,-1.467,31.11,0.01,0.001,0.0,1.005,0.272,-0.021,1.005,0.288,-0.019,1.0,0.289,0.0,0.953,0.598,-0.228,0.0,0.058,0.144,0.559,0.982,4.0,2.189,1.0,2.156,1.174,0.991,58752.0,58751.0,62122.0,58751.875,55915.0,6207.0,0.114,0.029,0.0,250.0,162.043,152.0,0.002,2391.0,755.955,65.0,0.271,104715.0,0.001,0.189,0.009,0.076,0.298,0.052,0.403,73.212,4.261,,282.258,,35.56,140.078,24.414,
49,1.084,3.221,0.0,0.004,-0.025,-0.001,3.961,-0.0,-1.442,4.666,0.008,0.001,0.0,1.004,0.265,-0.018,1.004,0.298,-0.016,1.0,0.299,0.0,0.629,0.273,-0.836,0.0,0.045,0.103,0.256,0.982,4.0,2.199,1.0,2.164,1.182,0.99,60066.0,60065.0,64401.0,60065.375,54894.0,9507.0,0.119,0.029,0.0,219.0,160.852,152.0,0.002,2597.0,777.67,102.0,0.283,112644.0,0.001,0.181,0.009,0.072,0.292,0.051,0.409,71.95,4.324,,280.771,,34.826,140.487,24.445,
50,1.042,3.543,0.0,0.004,0.056,-0.001,2.697,0.0,-1.345,9.781,0.014,0.001,0.0,1.008,0.31,-0.019,1.008,0.325,-0.018,1.0,0.326,0.0,0.656,0.338,-0.188,0.0,0.058,0.109,0.402,0.979,4.0,2.191,1.0,2.145,1.166,0.988,58804.0,58803.0,61290.0,58803.875,57080.0,4210.0,0.115,0.029,0.0,246.0,161.623,153.0,0.002,2539.0,757.188,78.0,0.275,106696.0,0.001,0.187,0.009,0.075,0.298,0.052,0.408,72.472,4.332,,281.383,,35.229,140.201,24.439,
51,1.034,2.239,0.0,0.005,0.054,-0.0,2.531,-0.0,-1.389,12.3,0.019,0.001,0.0,1.007,0.292,-0.021,1.007,0.312,-0.021,1.0,0.314,0.0,0.77,0.43,-0.227,0.0,0.041,0.098,0.327,0.975,4.0,2.23,1.0,2.186,1.211,0.988,60796.0,60795.0,67599.0,60795.375,55627.0,11972.0,0.116,0.03,0.0,250.0,162.217,151.0,0.002,2320.0,787.711,91.0,0.279,112566.0,0.001,0.18,0.009,0.074,0.29,0.05,0.348,72.535,4.425,,283.334,,36.196,140.996,24.46,
52,0.943,2.786,0.0,0.005,-0.05,0.001,2.752,0.0,-1.564,9.216,0.02,0.001,0.0,1.004,0.303,-0.023,1.004,0.324,-0.023,1.0,0.326,0.0,0.668,0.245,-0.387,0.0,0.055,0.107,0.338,0.969,4.0,2.256,1.0,2.213,1.244,0.989,61708.0,61707.0,66520.0,61707.5,54643.0,11877.0,0.119,0.03,0.0,251.0,162.32,152.0,0.002,2771.0,801.859,58.0,0.273,111956.0,0.001,0.179,0.009,0.073,0.285,0.05,0.447,73.451,4.414,,284.239,,35.985,140.811,24.698,
53,0.963,3.496,0.0,0.005,0.179,-0.001,3.376,0.0,-1.675,12.726,0.025,0.001,0.0,1.004,0.3,-0.018,1.004,0.321,-0.018,1.0,0.324,0.0,0.891,0.365,-1.43,0.0,0.068,0.095,0.291,0.98,4.0,2.271,1.0,2.234,1.254,0.991,63285.0,63284.0,69603.0,63284.625,59385.0,10218.0,0.119,0.031,0.0,232.0,161.83,153.0,0.002,2651.0,826.992,77.0,0.28,118682.0,0.001,0.175,0.009,0.073,0.278,0.049,0.424,74.018,4.479,,285.612,,36.828,140.641,24.721,
54,0.983,2.818,0.0,0.004,-0.035,-0.001,2.843,-0.0,-1.984,19.772,0.026,0.001,0.0,1.008,0.28,-0.016,1.004,0.323,-0.016,1.0,0.326,0.0,0.664,0.092,-0.416,0.0,0.084,0.113,0.174,0.969,4.0,2.281,1.0,2.242,1.273,0.99,63011.0,63010.0,66880.0,63010.25,59951.0,6929.0,0.12,0.031,0.0,257.0,161.49,153.0,0.002,2411.0,823.045,78.0,0.277,116567.0,0.001,0.174,0.009,0.072,0.28,0.049,0.422,73.529,4.478,,285.089,,36.333,141.286,24.622,
55,0.974,2.339,0.0,0.004,-0.021,0.0,2.69,0.0,-1.885,14.334,0.031,0.001,0.0,1.006,0.315,-0.021,1.005,0.351,-0.021,1.0,0.355,0.0,1.07,0.438,-0.494,0.0,0.079,0.104,0.452,0.957,4.0,2.277,1.0,2.236,1.279,0.99,62222.0,62221.0,66763.0,62221.375,57286.0,9477.0,0.124,0.03,0.0,234.0,161.723,153.0,0.002,2063.0,810.486,44.0,0.271,112509.0,0.001,0.18,0.009,0.07,0.283,0.049,0.389,74.795,4.388,,283.936,,34.738,140.781,24.452,
56,0.891,2.893,0.0,0.005,-0.143,0.0,2.639,-0.0,-1.975,14.987,0.033,0.001,0.0,1.008,0.301,-0.025,1.005,0.314,-0.025,1.0,0.318,0.0,1.023,0.369,-0.206,0.0,0.029,0.127,0.263,0.965,4.0,2.273,1.0,2.23,1.266,0.989,61666.0,61665.0,69159.0,61665.875,59144.0,10015.0,0.115,0.03,0.0,251.0,161.51,151.0,0.002,2593.0,802.02,43.0,0.263,108030.0,0.001,0.177,0.009,0.075,0.283,0.049,0.424,72.636,4.385,,283.066,,36.97,139.855,24.406,
57,0.908,3.838,0.0,0.004,0.189,0.002,2.398,0.0,-9.052,28.232,0.029,0.001,0.0,1.007,0.302,-0.034,1.005,0.328,-0.034,1.0,0.332,0.0,3.703,0.02,-0.566,0.0,0.084,0.102,0.1,0.965,4.0,2.293,1.0,2.26,1.295,0.992,63034.0,63033.0,67463.0,63033.375,59511.0,7952.0,0.124,0.031,0.0,228.0,161.762,151.0,0.002,2620.0,823.135,106.0,0.267,112627.0,0.001,0.176,0.009,0.069,0.277,0.049,0.424,74.0,4.398,,282.621,,35.034,139.473,24.867,
58,0.948,3.202,0.0,0.006,-0.111,0.002,2.57,0.0,-2.196,7.11,0.022,0.001,0.0,1.007,0.294,-0.017,1.007,0.335,-0.016,1.0,0.338,0.0,0.996,0.35,-0.125,0.0,0.122,0.107,0.402,0.959,4.0,2.252,1.0,2.225,1.266,0.993,61541.0,61540.0,64669.0,61540.875,56256.0,8413.0,0.124,0.03,0.0,245.0,161.771,153.0,0.002,2550.0,799.805,63.0,0.266,108756.0,0.001,0.178,0.009,0.07,0.289,0.05,0.397,73.091,4.378,,283.354,,34.377,142.14,24.6,
59,0.993,2.439,0.0,0.004,-0.161,0.002,2.974,-0.0,-2.265,13.486,0.017,0.001,0.0,1.011,0.27,-0.023,1.009,0.309,-0.023,1.0,0.311,0.0,0.992,0.316,-0.247,0.0,0.116,0.137,0.228,0.959,4.0,2.293,1.0,2.26,1.301,0.991,63469.0,63468.0,67839.0,63468.25,54908.0,12931.0,0.126,0.031,0.0,245.0,161.66,152.0,0.002,2314.0,830.031,92.0,0.273,116135.0,0.001,0.174,0.009,0.068,0.277,0.048,0.428,73.986,4.403,,283.104,,34.768,140.521,24.519,
60,0.958,3.145,0.0,0.008,-0.026,0.002,2.592,0.0,-1.972,21.94,0.008,0.001,0.0,1.01,0.279,-0.016,1.008,0.318,-0.015,1.0,0.318,0.0,0.66,0.049,-0.381,0.0,0.084,0.118,0.109,0.982,4.0,2.301,1.0,2.277,1.295,0.994,63323.0,63322.0,66315.0,63322.25,59205.0,7110.0,0.118,0.031,0.0,257.0,162.068,153.0,0.002,2381.0,827.342,74.0,0.264,111672.0,0.001,0.171,0.009,0.073,0.276,0.048,0.405,72.527,4.377,,283.181,,37.135,139.743,24.492,
61,0.925,2.43,0.0,0.005,-0.012,0.001,2.522,-0.0,-2.178,16.408,0.004,0.001,0.0,1.011,0.295,-0.026,1.011,0.338,-0.025,1.0,0.338,0.0,1.07,0.434,-0.11,0.0,0.138,0.11,0.483,0.961,4.0,2.326,1.0,2.281,1.32,0.988,63882.0,63881.0,68574.0,63881.75,57002.0,11572.0,0.121,0.031,0.0,244.0,161.701,152.0,0.002,2291.0,836.451,40.0,0.262,112259.0,0.001,0.175,0.009,0.071,0.274,0.048,0.42,74.801,4.374,,284.864,,36.472,139.872,24.443,
62,0.891,3.188,0.0,0.005,-0.346,-0.001,2.652,-0.0,-2.069,9.193,0.005,0.001,0.0,1.01,0.3,-0.024,1.01,0.326,-0.017,1.0,0.326,0.0,1.047,0.408,-0.106,0.0,0.103,0.131,0.341,0.967,4.0,2.307,1.0,2.273,1.307,0.992,63391.0,63390.0,72129.0,63390.75,55012.0,17117.0,0.124,0.031,0.0,273.0,161.244,153.0,0.002,2568.0,829.236,75.0,0.263,111821.0,0.001,0.175,0.009,0.07,0.278,0.048,0.392,74.194,4.458,,284.531,,35.398,141.075,24.541,
63,0.887,2.472,0.0,0.005,0.121,0.0,2.642,0.0,-2.073,16.733,0.012,0.001,0.0,1.011,0.284,-0.024,1.009,0.312,-0.024,1.0,0.312,0.0,0.707,0.094,-0.414,0.0,0.113,0.112,0.185,0.965,4.0,2.289,1.0,2.254,1.289,0.991,62308.0,62308.0,67864.0,62308.0,58010.0,9854.0,0.121,0.03,0.0,267.0,161.979,153.0,0.002,2476.0,811.584,56.0,0.265,110006.0,0.001,0.188,0.009,0.071,0.284,0.05,0.404,78.181,4.5,,289.659,,35.491,141.578,24.973,
64,0.878,2.642,0.0,0.005,0.075,0.0,7.207,-0.0,-2.063,17.511,0.009,0.001,0.0,1.009,0.295,-0.02,1.009,0.33,-0.017,1.0,0.33,0.0,1.039,0.443,-1.961,0.0,0.106,0.116,0.483,0.961,4.0,2.266,1.0,2.238,1.277,0.993,60921.0,60921.0,68912.0,60921.0,56354.0,12558.0,0.115,0.03,0.0,234.0,160.969,152.0,0.002,2508.0,790.922,121.0,0.249,100773.0,0.001,0.194,0.009,0.075,0.289,0.05,0.419,78.756,4.423,,290.034,,36.535,140.831,24.585,
65,0.876,2.458,0.0,0.005,0.137,0.002,2.51,-0.0,-1.966,14.984,0.016,0.001,0.0,1.01,0.319,-0.021,1.01,0.341,-0.018,1.0,0.342,0.0,0.98,0.402,-0.085,0.0,0.13,0.102,0.301,0.979,4.0,2.277,1.0,2.248,1.27,0.993,60978.0,60977.0,64591.0,60977.5,56322.0,8269.0,0.118,0.029,0.0,215.0,161.041,153.0,0.002,2240.0,791.732,63.0,0.247,100291.0,0.001,0.187,0.009,0.073,0.292,0.051,0.39,75.903,4.327,,287.744,,35.574,142.274,24.843,
66,0.908,3.133,0.0,0.006,0.111,0.0,2.605,0.0,-2.231,18.837,0.012,0.001,0.0,1.012,0.306,-0.031,1.011,0.345,-0.029,1.0,0.346,0.0,0.781,0.114,-0.391,0.0,0.119,0.111,0.188,0.971,4.0,2.293,1.0,2.26,1.289,0.991,61674.0,61673.0,64047.0,61673.75,58319.0,5728.0,0.122,0.03,0.0,216.0,161.254,153.0,0.002,2455.0,802.398,74.0,0.248,101865.0,0.001,0.204,0.009,0.071,0.29,0.05,0.435,83.652,4.352,,295.386,,35.026,142.991,24.533,
67,0.847,2.337,0.0,0.004,0.019,0.003,2.796,0.0,-2.072,13.861,0.015,0.001,0.0,1.013,0.281,-0.021,1.011,0.323,-0.019,1.0,0.324,0.0,1.016,0.406,-0.108,0.0,0.117,0.098,0.453,0.973,4.0,2.277,1.0,2.258,1.285,0.995,61672.0,61671.0,64488.0,61671.75,57619.0,6869.0,0.118,0.03,0.0,248.0,161.711,152.0,0.002,2502.0,801.91,59.0,0.248,101896.0,0.001,0.181,0.009,0.073,0.286,0.05,0.4,74.336,4.354,,285.438,,36.09,141.301,24.55,
68,0.893,2.851,0.0,0.008,0.138,0.001,2.847,-0.0,-2.158,9.557,0.007,0.001,0.0,1.01,0.271,-0.02,1.007,0.319,-0.017,1.0,0.318,0.0,0.988,0.365,-0.178,0.0,0.146,0.095,0.259,0.973,4.0,2.258,1.0,2.232,1.26,0.993,60119.0,60118.0,64787.0,60118.75,56578.0,8209.0,0.113,0.029,0.0,277.0,161.979,151.0,0.002,2222.0,777.377,54.0,0.242,96463.0,0.001,0.184,0.009,0.076,0.291,0.051,0.339,73.318,4.324,,283.236,,36.614,139.762,24.485,
69,0.88,3.833,0.0,0.005,-0.106,0.003,2.47,0.0,-2.173,19.824,0.005,0.001,0.0,1.014,0.315,-0.03,1.014,0.352,-0.027,1.0,0.352,0.0,0.746,0.11,-0.361,0.0,0.113,0.128,0.171,0.967,4.0,2.246,1.0,2.229,1.262,0.996,59807.0,59806.0,64381.0,59806.5,54716.0,9665.0,0.116,0.029,0.0,251.0,161.172,152.0,0.002,2654.0,773.305,61.0,0.24,95123.0,0.001,0.195,0.009,0.075,0.296,0.051,0.42,77.086,4.307,,288.168,,35.715,141.821,24.439,
70,0.821,1.818,0.0,0.006,-0.155,0.002,2.994,0.0,-2.023,11.592,-0.006,0.001,0.0,1.013,0.298,-0.022,1.013,0.342,-0.019,1.0,0.34,0.0,0.965,0.398,-0.16,0.0,0.155,0.107,0.471,0.963,4.0,2.297,1.0,2.268,1.305,0.993,61861.0,61860.0,64335.0,61860.375,59901.0,4434.0,0.121,0.03,0.0,213.0,160.85,150.0,0.002,2425.0,805.719,115.0,0.245,101256.0,0.001,0.176,0.009,0.071,0.285,0.049,0.414,72.515,4.353,,282.449,,35.337,140.912,24.474,
71,0.749,4.522,0.0,0.005,0.024,-0.001,2.423,0.0,-1.893,9.682,-0.0,0.001,0.0,1.021,0.32,-0.032,1.021,0.341,-0.027,1.0,0.34,0.0,0.961,0.357,-0.193,0.0,0.127,0.102,0.402,0.975,4.0,2.225,1.0,2.215,1.24,0.998,58478.0,58477.0,61332.0,58477.5,55924.0,5408.0,0.11,0.029,0.0,251.0,161.094,153.0,0.002,2417.0,752.617,105.0,0.233,89864.0,0.001,0.185,0.009,0.079,0.298,0.052,0.395,71.231,4.301,,280.941,,36.724,139.563,24.394,
72,0.84,3.071,0.0,0.007,-0.055,-0.001,2.798,0.0,-1.986,12.383,0.002,0.001,0.0,1.017,0.262,-0.026,1.017,0.298,-0.023,1.0,0.297,0.0,0.93,0.363,-0.159,0.0,0.122,0.08,0.282,0.963,4.0,2.291,1.0,2.273,1.311,0.996,60215.0,60214.0,63313.0,60214.375,55911.0,7402.0,0.118,0.029,0.0,256.0,161.58,149.0,0.002,2270.0,779.27,106.0,0.224,89521.0,0.001,0.179,0.009,0.073,0.293,0.051,0.406,71.474,4.33,,281.556,,35.178,141.366,24.472,
73,0.795,3.837,0.0,0.005,-0.22,-0.002,2.489,-0.0,-2.141,11.927,0.008,0.001,0.0,1.013,0.307,-0.034,1.013,0.337,-0.031,1.0,0.336,0.0,0.805,0.137,-0.475,0.0,0.12,0.13,0.279,0.969,4.0,2.299,1.0,2.287,1.318,0.997,61494.0,61493.0,64555.0,61493.125,58087.0,6468.0,0.121,0.03,0.0,281.0,162.799,149.0,0.002,2507.0,798.031,106.0,0.231,94218.0,0.001,0.176,0.009,0.071,0.287,0.05,0.434,71.77,4.314,,281.421,,35.025,141.089,24.443,
74,0.832,3.867,0.0,0.004,0.084,-0.001,2.889,-0.0,-2.004,24.531,0.006,0.001,0.0,1.017,0.328,-0.026,1.017,0.362,-0.024,1.0,0.361,0.0,1.172,0.543,-0.422,0.0,0.112,0.136,0.597,0.949,4.0,2.316,1.0,2.297,1.348,0.995,62522.0,62521.0,67463.0,62521.25,58435.0,9028.0,0.122,0.031,0.0,252.0,162.615,152.0,0.002,2468.0,814.279,105.0,0.237,98782.0,0.001,0.176,0.009,0.071,0.281,0.049,0.403,73.477,4.544,,283.198,,35.511,140.339,24.538,
75,0.845,4.415,0.0,0.007,0.077,-0.002,3.085,-0.0,-1.822,16.431,0.015,0.001,0.0,1.019,0.301,-0.032,1.019,0.346,-0.031,1.0,0.346,0.0,1.023,0.418,-0.367,0.0,0.136,0.093,0.295,0.965,4.0,2.297,1.0,2.275,1.311,0.995,60553.0,60552.0,62633.0,60552.875,58256.0,4377.0,0.113,0.03,0.0,249.0,161.141,153.0,0.002,2823.0,784.998,53.0,0.223,89539.0,0.001,0.18,0.009,0.076,0.29,0.051,0.43,72.247,4.334,,283.115,,36.917,140.269,24.62,
76,0.754,3.714,0.0,0.006,-0.059,0.003,2.538,-0.0,-2.228,29.026,0.025,0.001,0.0,1.017,0.343,-0.03,1.014,0.38,-0.028,1.0,0.381,0.0,0.711,0.055,-0.408,0.0,0.139,0.15,0.09,0.961,4.0,2.33,1.0,2.316,1.355,0.996,61895.0,61894.0,68923.0,61894.375,57375.0,11548.0,0.124,0.031,0.0,241.0,161.49,153.0,0.002,2566.0,805.609,102.0,0.223,91922.0,0.001,0.176,0.009,0.07,0.281,0.05,0.413,72.508,4.509,,280.146,,34.543,139.055,24.645,
77,0.79,2.379,0.0,0.006,0.152,0.002,2.678,0.0,-2.07,15.022,0.017,0.001,0.0,1.015,0.31,-0.028,1.014,0.359,-0.024,1.0,0.359,0.0,0.977,0.34,-0.249,0.0,0.151,0.129,0.489,0.963,4.0,2.346,1.0,2.326,1.363,0.995,63803.0,63802.0,72544.0,63802.5,58655.0,13889.0,0.122,0.031,0.0,235.0,161.328,153.0,0.002,2700.0,835.586,40.0,0.238,101901.0,0.001,0.174,0.009,0.071,0.278,0.048,0.402,74.354,4.474,,286.289,,36.073,141.722,24.667,
78,0.823,4.071,0.0,0.006,-0.059,0.0,2.597,-0.0,-2.063,36.366,0.002,0.001,0.0,1.019,0.295,-0.026,1.019,0.349,-0.022,1.0,0.348,0.0,1.289,0.695,0.212,0.0,0.102,0.154,0.669,0.959,4.0,2.369,1.0,2.352,1.393,0.996,63684.0,63683.0,66887.0,63683.375,61287.0,5600.0,0.118,0.031,0.0,263.0,161.645,151.0,0.002,2205.0,833.408,57.0,0.227,96918.0,0.001,0.179,0.009,0.073,0.274,0.049,0.383,76.527,4.53,,287.836,,37.354,139.665,24.935,
79,0.776,6.685,0.0,0.005,-0.121,-0.003,2.352,0.0,-2.104,11.467,0.005,0.001,0.0,1.018,0.332,-0.025,1.017,0.371,-0.024,1.0,0.371,0.0,1.055,0.432,-0.32,0.0,0.128,0.114,0.275,0.973,4.0,2.361,2.0,2.346,1.373,0.996,63324.0,63323.0,67747.0,63323.375,57727.0,10020.0,0.124,0.031,0.0,253.0,161.543,153.0,0.002,2352.0,827.885,445.0,0.224,94942.0,0.001,0.196,0.009,0.07,0.28,0.048,0.395,82.901,4.446,,294.061,,35.352,141.987,24.483,
80,0.779,3.947,0.0,0.007,0.241,-0.001,2.4,-0.0,-2.165,37.419,0.016,0.001,0.0,1.018,0.323,-0.025,1.017,0.347,-0.023,1.0,0.348,0.0,0.617,-0.047,-0.531,0.0,0.096,0.116,-0.012,0.967,4.0,2.391,1.0,2.373,1.406,0.996,64367.0,64366.0,67653.0,64366.625,59870.0,7783.0,0.128,0.031,0.0,236.0,161.424,151.0,0.002,2286.0,844.305,72.0,0.227,98018.0,0.001,0.173,0.009,0.068,0.274,0.047,0.4,74.663,4.493,,284.445,,34.781,141.252,24.421,
81,0.79,3.734,0.0,0.007,-0.061,-0.003,2.625,-0.0,-2.256,14.419,0.025,0.001,0.0,1.017,0.286,-0.021,1.013,0.332,-0.021,1.0,0.334,0.0,0.918,0.168,-0.311,0.0,0.175,0.114,0.342,0.953,4.0,2.389,2.0,2.377,1.424,0.997,64703.0,64702.0,68286.0,64702.375,61112.0,7174.0,0.122,0.032,0.0,244.0,162.186,151.0,0.002,2539.0,848.789,452.0,0.227,98576.0,0.001,0.172,0.009,0.071,0.27,0.047,0.421,74.564,4.522,,285.14,,36.7,139.964,24.471,
82,0.805,4.892,0.0,0.007,-0.148,-0.003,2.686,-0.0,-2.233,26.279,0.028,0.001,0.0,1.018,0.274,-0.03,1.017,0.316,-0.03,1.0,0.318,0.0,1.195,0.543,0.042,0.0,0.158,0.135,0.539,0.943,4.0,2.436,1.0,2.424,1.48,0.997,66092.0,66091.0,70092.0,66091.625,58652.0,11440.0,0.127,0.032,0.0,226.0,162.145,150.0,0.002,2504.0,870.537,43.0,0.222,98853.0,0.001,0.165,0.008,0.068,0.266,0.046,0.43,73.533,4.489,,283.953,,36.007,140.532,24.48,
83,0.703,3.506,0.0,0.005,-0.284,-0.001,2.711,0.0,-2.242,12.98,0.046,0.001,0.0,1.017,0.335,-0.03,1.013,0.375,-0.03,1.0,0.379,0.0,1.078,0.373,-0.194,0.0,0.174,0.126,0.267,0.961,4.0,2.32,1.0,2.318,1.357,1.0,61635.0,61634.0,65114.0,61634.375,59394.0,5720.0,0.123,0.03,0.0,233.0,160.59,152.0,0.002,2583.0,802.447,78.0,0.221,90831.0,0.001,0.175,0.009,0.07,0.287,0.05,0.394,71.762,4.349,,281.516,,34.689,141.439,24.505,
84,0.761,3.146,0.0,0.007,-0.084,-0.0,2.559,0.0,-1.967,32.557,0.051,0.001,0.0,1.018,0.308,-0.03,1.011,0.351,-0.03,1.0,0.355,0.0,0.664,0.012,-0.547,0.0,0.12,0.161,0.043,0.955,4.0,2.414,1.0,2.396,1.441,0.996,64511.0,64510.0,65917.0,64510.375,61990.0,3927.0,0.126,0.031,0.0,255.0,162.328,152.0,0.002,2246.0,845.646,50.0,0.216,93569.0,0.001,0.168,0.009,0.069,0.274,0.047,0.383,72.571,4.403,,282.991,,35.458,141.342,24.449,
85,0.757,3.554,0.0,0.009,0.086,0.002,2.654,-0.0,-2.242,11.431,0.05,0.001,0.0,1.014,0.288,-0.022,1.01,0.335,-0.022,1.0,0.34,0.0,0.84,0.175,-0.389,0.0,0.173,0.093,0.318,0.953,4.0,2.457,1.0,2.441,1.488,0.996,67069.0,67068.0,70152.0,67068.75,65279.0,4873.0,0.123,0.033,0.0,252.0,162.617,151.0,0.002,2553.0,885.332,70.0,0.223,101269.0,0.001,0.166,0.009,0.071,0.26,0.046,0.412,75.286,4.602,,286.772,,37.917,139.383,24.583,
86,0.753,3.135,0.0,0.007,-0.196,0.002,2.597,0.0,-2.23,20.292,0.047,0.001,0.0,1.016,0.313,-0.03,1.013,0.352,-0.03,1.0,0.355,0.0,1.156,0.523,-0.175,0.0,0.166,0.11,0.536,0.943,4.0,2.395,1.0,2.381,1.438,0.997,64189.0,64188.0,66973.0,64188.375,61494.0,5479.0,0.124,0.031,0.0,231.0,162.277,153.0,0.002,2462.0,840.666,40.0,0.217,93464.0,0.001,0.169,0.009,0.07,0.273,0.048,0.362,72.851,4.379,,282.648,,35.791,140.348,24.479,
87,0.693,4.481,0.0,0.01,-0.051,0.005,2.642,0.0,-2.202,12.625,0.035,0.001,0.0,1.023,0.34,-0.028,1.023,0.373,-0.028,1.0,0.375,0.0,1.008,0.354,-0.27,0.0,0.146,0.11,0.287,0.953,4.0,2.426,2.0,2.418,1.465,0.998,65230.0,65230.0,67907.0,65230.0,62313.0,5594.0,0.127,0.032,0.0,251.0,161.621,153.0,0.002,2445.0,857.598,456.0,0.214,93861.0,0.001,0.17,0.009,0.068,0.271,0.047,0.43,74.504,4.501,,285.569,,35.537,141.647,24.448,
